example_id                                            | status  | run_time        |
./spec/routing/foods_routing_spec.rb[1:1:3]           | passed  | 0.00282 seconds |
./spec/routing/foods_routing_spec.rb[1:1:4]           | passed  | 0.00262 seconds |
./spec/routing/foods_routing_spec.rb[1:1:5]           | passed  | 0.00752 seconds |
./spec/routing/foods_routing_spec.rb[1:1:6]           | passed  | 0.00384 seconds |
./spec/routing/foods_routing_spec.rb[1:1:7]           | passed  | 0.00259 seconds |
./spec/routing/foods_routing_spec.rb[1:1:8]           | passed  | 0.00356 seconds |
./spec/routing/recipe_foods_routing_spec.rb[1:1:1]    | passed  | 0.00371 seconds |
./spec/routing/recipe_foods_routing_spec.rb[1:1:2]    | passed  | 0.00318 seconds |
./spec/routing/recipe_foods_routing_spec.rb[1:1:3]    | passed  | 0.00291 seconds |
./spec/routing/recipe_foods_routing_spec.rb[1:1:4]    | passed  | 0.00493 seconds |
./spec/routing/recipe_foods_routing_spec.rb[1:1:5]    | passed  | 0.00313 seconds |
./spec/routing/recipe_foods_routing_spec.rb[1:1:6]    | passed  | 0.00334 seconds |
./spec/routing/recipe_foods_routing_spec.rb[1:1:7]    | passed  | 0.00261 seconds |
./spec/routing/recipe_foods_routing_spec.rb[1:1:8]    | passed  | 0.00306 seconds |
./spec/routing/recipes_routing_spec.rb[1:1:1]         | passed  | 0.00306 seconds |
./spec/routing/recipes_routing_spec.rb[1:1:2]         | passed  | 0.00368 seconds |
./spec/routing/recipes_routing_spec.rb[1:1:3]         | passed  | 0.00458 seconds |
./spec/routing/recipes_routing_spec.rb[1:1:4]         | passed  | 0.00433 seconds |
./spec/routing/recipes_routing_spec.rb[1:1:5]         | passed  | 0.0058 seconds  |
./spec/routing/recipes_routing_spec.rb[1:1:6]         | passed  | 0.00574 seconds |
./spec/routing/recipes_routing_spec.rb[1:1:7]         | passed  | 0.00391 seconds |
./spec/routing/recipes_routing_spec.rb[1:1:8]         | passed  | 0.00699 seconds |
./spec/routing/users_routing_spec.rb[1:1:1]           | passed  | 0.0027 seconds  |
./spec/routing/users_routing_spec.rb[1:1:2]           | passed  | 0.00243 seconds |
./spec/routing/users_routing_spec.rb[1:1:3]           | passed  | 0.00343 seconds |
./spec/routing/users_routing_spec.rb[1:1:4]           | passed  | 0.00454 seconds |
./spec/routing/users_routing_spec.rb[1:1:5]           | passed  | 0.00307 seconds |
./spec/routing/users_routing_spec.rb[1:1:6]           | passed  | 0.00256 seconds |
./spec/routing/users_routing_spec.rb[1:1:7]           | passed  | 0.00226 seconds |
./spec/routing/users_routing_spec.rb[1:1:8]           | passed  | 0.31407 seconds |
./spec/views/foods/edit.html.erb_spec.rb[1:1]         | failed  | 0.00719 seconds |
./spec/views/foods/index.html.erb_spec.rb[1:1]        | failed  | 0.00439 seconds |
./spec/views/foods/new.html.erb_spec.rb[1:1]          | failed  | 0.00499 seconds |
./spec/views/foods/show.html.erb_spec.rb[1:1]         | failed  | 0.00541 seconds |
./spec/views/recipe_foods/edit.html.erb_spec.rb[1:1]  | failed  | 0.00715 seconds |
./spec/views/recipe_foods/index.html.erb_spec.rb[1:1] | failed  | 0.00733 seconds |
./spec/views/recipe_foods/new.html.erb_spec.rb[1:1]   | passed  | 0.32836 seconds |
./spec/views/recipe_foods/show.html.erb_spec.rb[1:1]  | failed  | 0.00733 seconds |
./spec/views/recipes/edit.html.erb_spec.rb[1:1]       | failed  | 0.0103 seconds  |
./spec/views/recipes/index.html.erb_spec.rb[1:1]      | failed  | 0.00936 seconds |
./spec/views/recipes/new.html.erb_spec.rb[1:1]        | passed  | 0.01279 seconds |
./spec/views/recipes/show.html.erb_spec.rb[1:1]       | failed  | 0.11797 seconds |
./spec/views/users/edit.html.erb_spec.rb[1:1]         | failed  | 0.00533 seconds |
./spec/views/users/index.html.erb_spec.rb[1:1]        | failed  | 0.00468 seconds |
./spec/views/users/new.html.erb_spec.rb[1:1]          | failed  | 0.23447 seconds |
./spec/views/users/show.html.erb_spec.rb[1:1]         | failed  | 0.00464 seconds |
